"AnswerProvider","AnswerSeeker"
23,10
34,6
6,16
36,23
38,28
37,35
18,14
28,50
61,65
14,61
71,14
14,75
83,34
18,14
18,75
18,75
57,34
101,97
90,95
96,98
35,49
103,6
14,6
12,6
61,105
16,75
6,110
12,14
6,111
61,21
12,87
14,75
114,90
36,23
59,98
6,74
59,87
14,75
14,61
61,14
16,61
16,119
38,24
27,38
46,6
24,75
36,24
18,46
18,95
120,14
14,26
24,91
16,75
23,38
36,110
14,6
6,132
18,49
36,23
14,7
12,7
61,53
9,61
61,87
61,23
14,119
61,56
14,61
28,176
14,75
61,18
16,120
61,75
14,12
174,193
174,14
195,27
219,218
103,218
61,195
6,195
152,14
238,61
61,7
18,75
87,75
251,49
152,50
219,261
36,265
92,258
18,261
92,90
18,273
24,61
24,61
92,28
92,247
280,50
188,191
12,8
12,264
183,22
18,14
18,75
14,191
61,75
61,75
103,305
103,143
145,236
6,61
6,189
18,322
18,316
326,303
328,167
18,74
224,327
36,28
36,328
59,336
313,336
339,59
339,181
224,336
224,336
23,28
61,342
97,336
152,8
103,350
61,322
103,103
61,359
61,369
61,367
372,59
61,224
328,224
61,335
6,374
375,364
59,310
61,28
61,209
348,364
23,50
61,9
18,75
385,388
397,397
400,310
357,402
61,405
61,405
61,310
348,416
410,419
152,365
61,426
6,25
246,434
385,431
96,437
6,432
253,96
385,410
342,418
27,336
61,448
152,448
6,448
253,448
253,452
152,468
468,448
468,448
6,468
468,448
477,255
27,485
357,485
23,96
103,320
14,342
98,410
496,392
448,496
152,497
496,59
496,59
152,496
357,391
496,339
496,502
6,515
516,513
517,496
145,364
152,253
145,521
152,527
103,364
96,536
96,313
385,120
27,96
496,527
527,200
527,547
364,181
550,59
385,542
496,364
59,557
496,560
385,563
385,536
61,569
385,55
527,496
528,568
527,527
385,364
385,364
527,14
527,569
385,364
96,224
59,385
385,385
385,392
385,385
496,59
527,528
527,364
385,385
6,385
6,496
527,527
527,527
496,527
61,527
385,628
59,637
496,637
635,650
385,635
385,652
385,385
103,150
36,527
364,659
385,385
527,668
528,392
496,527
379,671
528,477
527,528
528,672
527,364
496,677
527,181
385,683
385,685
385,527
689,75
496,664
692,686
527,675
527,527
675,527
527,675
528,527
27,364
527,695
364,719
527,721
152,527
423,119
103,364
152,643
364,253
61,189
6,61
528,727
6,727
527,727
735,527
423,727
385,739
385,745
752,366
752,319
12,25
27,725
527,448
385,745
527,759
385,745
752,765
6,752
769,752
708,752
527,527
752,672
752,772
745,675
752,33
752,708
385,527
784,783
752,753
675,790
61,752
527,33
784,752
99,549
752,753
786,752
385,752
752,527
527,786
527,497
103,809
752,677
477,526
745,364
527,14
786,33
786,191
786,527
527,821
527,786
745,364
752,753
752,364
786,830
477,752
527,752
786,527
786,527
786,110
527,844
61,547
792,527
675,753
152,833
857,753
246,189
675,857
385,857
12,385
869,668
423,872
857,873
152,872
876,850
96,96
527,94
675,880
35,92
385,833
103,889
857,753
857,536
385,75
857,753
869,753
675,908
908,527
857,908
911,890
224,527
675,753
357,753
23,924
857,753
385,753
857,753
527,527
477,675
931,189
857,753
385,874
6,387
27,33
857,753
527,119
27,14
527,527
857,753
527,6
869,857
949,857
950,246
950,737
675,950
61,950
952,540
527,961
385,950
950,527
385,950
752,527
527,950
96,527
364,364
786,786
364,392
991,908
385,392
857,997
857,753
27,753
950,189
786,752
35,12
857,753
857,189
857,753
527,786
152,715
857,189
675,753
364,1015
27,675
857,753
27,753
527,189
786,364
857,753
857,753
477,527
364,396
857,753
364,396
786,1033
540,540
857,540
27,1035
145,1035
497,1038
527,947
152,527
857,675
396,364
527,1054
18,463
857,857
364,1051
752,786
675,671
1083,189
364,145
12,364
385,1054
403,527
752,527
1099,1097
857,540
385,527
385,527
527,364
1112,1097
87,1032
477,1122
192,540
667,753
675,753
675,753
675,753
255,753
667,753
857,753
540,540
527,527
27,753
527,1110
527,527
1154,35
246,527
27,921
921,753
477,527
527,1162
477,1161
477,364
527,1163
529,527
23,1173
18,566
857,540
1122,1193
1207,650
675,921
1126,1020
1213,1213
18,1193
1221,1202
528,527
857,336
6,1232
786,1226
540,1237
224,786
27,569
1243,179
857,857
921,857
675,1262
675,921
1243,675
650,75
1269,26
857,753
650,1151
364,675
921,695
675,1277
857,753
857,1286
1277,1286
1286,1277
857,753
921,1286
1238,1238
1193,1098
857,753
650,26
1297,753
1193,1296
192,753
496,921
921,675
675,753
540,753
540,540
768,1277
540,1231
1277,921
1219,1346
385,1219
385,1219
921,1354
527,1358
650,1362
385,1364
527,1370
