_Id,_CreationDate,_PostId,_RelatedPostId,_LinkTypeId
769,2012-02-09T10:37:40.610,37,86,1
1309,2012-02-09T23:46:06.747,141,119,1
1390,2012-02-10T02:11:34.690,149,129,1
1391,2012-02-10T02:11:34.690,149,56,1
1614,2012-02-10T15:31:37.630,129,56,1
1615,2012-02-10T15:31:37.630,129,150,1
1616,2012-02-10T15:52:18.530,171,163,1
1668,2012-02-10T17:39:17.903,163,171,1
1795,2012-02-11T02:14:42.293,195,179,1
1855,2012-02-11T06:50:16.297,198,50,1
1881,2012-02-11T07:19:46.297,199,163,1
2142,2012-02-13T01:34:01.863,220,182,1
2168,2012-02-13T15:19:02.483,230,203,1
2696,2012-02-16T02:55:49.023,288,158,1
3373,2012-02-20T22:27:40.140,354,15,1
4073,2012-02-28T00:42:14.880,422,350,1
7089,2012-03-21T10:21:01.980,562,179,1
10309,2012-05-05T11:03:29.870,758,28,1
10498,2012-05-07T09:42:23.997,773,776,1
11494,2012-05-17T12:48:02.163,821,3,1
13769,2012-06-15T14:26:11.497,946,907,1
13931,2012-06-16T20:52:19.980,958,916,1
14645,2012-06-24T17:51:22.120,1022,772,1
17928,2012-08-03T14:12:48.063,1320,1319,1
18388,2012-08-07T23:55:36.523,1366,1025,1
19882,2012-08-23T12:29:33.757,1448,3,1
20511,2012-08-28T17:25:43.673,1482,663,1
20963,2012-09-02T18:12:26.793,1508,1022,1
22388,2012-09-17T12:37:37.430,1571,1561,1
22661,2012-09-19T16:50:17.623,1586,774,1
23188,2012-09-25T09:19:26.540,1614,1441,1
23979,2012-10-03T14:12:53.737,1676,1010,1
24007,2012-10-03T18:58:36.237,1682,1568,1
27925,2012-11-06T19:56:03.370,1812,1136,1
28003,2012-11-07T07:28:33.390,1813,255,1
29929,2012-11-27T15:36:50.333,1897,269,1
30353,2012-12-01T19:12:18.807,1913,1601,1
32659,2012-12-29T12:10:03.443,2013,2027,1
38503,2013-01-20T03:30:21.120,2118,2108,1
38950,2013-01-22T14:06:42.860,2131,2122,1
38951,2013-01-22T14:06:57.523,2122,2131,1
39325,2013-01-23T17:26:48.787,2147,1813,1
39437,2013-01-24T10:09:34.743,550,2150,1
40187,2013-01-27T04:44:53.360,2174,149,1
43821,2013-02-15T23:20:39.660,2271,1035,1
44061,2013-02-18T03:03:37.400,562,179,3
44062,2013-02-18T03:03:37.400,773,776,3
44063,2013-02-18T03:03:37.400,1676,1010,3
44985,2013-02-25T14:09:02.870,2303,2128,3
45083,2013-02-26T14:25:34.787,2310,1286,1
45281,2013-02-27T11:14:37.667,2317,2314,1
45324,2013-02-27T21:47:54.567,2270,1236,1
45416,2013-02-28T10:36:04.153,2314,2317,1
45454,2013-02-28T17:58:40.213,2317,2323,1
45475,2013-02-28T20:59:29.270,2312,2215,1
45774,2013-03-03T00:25:05.837,2330,1175,1
46031,2013-03-04T16:27:06.470,2335,1681,1
46301,2013-03-06T21:37:29.093,2352,2172,1
46463,2013-03-07T13:04:00.880,2361,2350,1
47575,2013-03-21T16:23:06.860,2354,736,1
47897,2013-03-27T13:26:47.720,2446,2314,1
47932,2013-03-28T17:57:43.040,2436,1601,1
48189,2013-04-06T19:29:04.743,67,1175,1
48226,2013-04-07T09:53:49.470,2482,2480,1
48336,2013-04-10T20:35:35.593,1175,2330,1
48503,2013-04-16T01:20:57.393,2527,179,1
48724,2013-04-21T05:33:49.307,2553,2121,1
48806,2013-04-23T17:38:01.930,2527,179,3
48935,2013-04-26T12:39:31.157,2317,623,1
48937,2013-04-26T12:39:31.157,2317,677,1
49494,2013-05-08T13:18:01.793,101,102,3
49669,2013-05-12T17:12:13.933,2638,1172,1
49725,2013-05-14T13:23:54.613,2645,3,1
50025,2013-05-21T06:51:16.993,2645,1448,3
50033,2013-05-21T15:26:00.890,2668,951,1
50336,2013-05-27T13:06:50.720,2688,2487,1
50373,2013-05-28T06:53:10.343,2693,623,1
50397,2013-05-29T01:53:33.837,2697,1604,1
50999,2013-06-10T18:42:02.453,2762,163,1
51077,2013-06-11T16:24:50.647,2718,324,1
51124,2013-06-12T14:26:43.597,2781,2750,1
51186,2013-06-14T01:11:50.920,2789,2743,1
51236,2013-06-14T14:23:58.793,2790,2556,1
51554,2013-06-24T13:23:53.143,2820,1025,1
51720,2013-06-27T14:33:19.930,2833,2358,1
51851,2013-07-01T14:14:04.227,2843,2301,3
51905,2013-07-02T12:18:10.773,2851,2765,1
52039,2013-07-06T01:25:58.973,2870,2172,1
52040,2013-07-06T01:28:34.950,2870,2183,1
52552,2013-07-17T13:21:23.347,2925,1490,1
52553,2013-07-17T13:21:23.347,2925,163,1
52948,2013-07-24T10:22:19.217,2970,1906,1
53130,2013-07-28T11:50:02.213,2988,2303,3
53131,2013-07-28T11:50:02.213,2988,2128,3
53180,2013-07-29T12:44:09.280,2992,2264,1
53216,2013-07-30T17:52:02.943,2995,2929,1
53295,2013-07-31T23:27:40.133,2999,2298,1
53312,2013-08-01T08:52:50.257,2998,2128,1
53321,2013-08-01T13:06:52.483,3002,870,1
53454,2013-08-06T01:45:54.070,2988,1812,1
53766,2013-08-12T16:54:49.853,3037,1010,3
54792,2013-08-30T17:45:18.100,3142,2060,1
54917,2013-09-02T06:24:22.437,3149,1479,1
55361,2013-09-11T22:30:05.020,3186,203,1
55447,2013-09-14T03:33:44.720,3199,1229,1
55775,2013-09-20T05:51:27.737,3237,3236,1
55942,2013-09-23T04:38:05.710,3255,1384,1
56132,2013-09-26T07:12:33.723,1792,2013,1
56719,2013-10-08T07:46:57.353,3331,1056,1
56730,2013-10-08T10:26:43.033,3332,3182,1
57460,2013-10-19T13:51:04.617,3405,1448,1
57534,2013-10-21T13:28:28.297,3401,3399,1
57737,2013-10-25T13:23:12.883,3420,3383,1
57966,2013-10-30T19:29:33.420,3449,3186,1
57967,2013-10-30T19:29:33.420,3449,3346,1
58268,2013-11-05T18:33:13.687,3362,3474,1
58444,2013-11-08T12:47:07.770,3490,413,1
60944,2013-11-18T13:39:44.913,3515,2904,1
61228,2013-11-25T03:13:07.883,3546,3208,1
61321,2013-11-27T01:38:25.183,3553,1335,1
61322,2013-11-27T01:38:25.183,3553,3120,1
61618,2013-12-03T14:00:02.323,3584,1657,3
62351,2013-12-16T05:02:07.097,3645,2709,1
62443,2013-12-16T20:21:43.703,3645,2709,3
62498,2013-12-18T04:47:17.607,3667,2079,1
62499,2013-12-18T04:50:18.887,3655,2111,1
62522,2013-12-18T11:29:54.040,3667,2079,3
62525,2013-12-18T14:34:38.853,3655,2111,3
63181,2013-12-29T19:41:57.313,3725,1702,1
63191,2013-12-30T05:35:47.243,3208,3546,1
63202,2013-12-30T06:18:57.347,3725,1904,1
63282,2013-12-31T05:23:02.823,3739,1660,1
63710,2014-01-06T15:21:14.990,3783,3755,1
63711,2014-01-06T15:21:14.990,3783,992,1
64305,2014-01-15T23:35:56.943,3832,1123,1
64309,2014-01-16T03:52:42.570,3832,1123,3
64760,2014-01-24T09:44:05.317,3887,2005,1
65127,2014-01-29T05:29:43.450,3933,3859,1
65139,2014-01-29T07:21:52.720,3933,1578,1
65140,2014-01-29T07:21:52.720,3933,3024,1
65210,2014-01-30T10:54:29.873,3943,3942,1
65502,2014-02-03T15:13:27.310,3339,3942,1
66249,2014-02-12T14:46:35.663,4065,2741,1
66321,2014-02-13T16:05:35.077,4074,4014,1
66536,2014-02-17T15:45:35.800,4055,4035,1
66537,2014-02-17T16:04:53.607,4099,4055,1
66587,2014-02-18T04:17:09.013,3933,3609,1
66588,2014-02-18T04:17:09.013,3933,4028,1
66607,2014-02-18T11:11:02.180,4108,2544,1
66632,2014-02-18T15:34:28.703,4111,2146,1
67161,2014-02-26T12:36:02.647,4158,3743,1
67249,2014-02-27T05:22:00.223,4160,693,1
67258,2014-02-27T06:37:13.360,4160,2556,1
67259,2014-02-27T06:37:13.360,4160,2790,1
67276,2014-02-27T08:16:36.967,4183,3399,1
67277,2014-02-27T08:16:36.967,4183,3401,1
67295,2014-02-27T11:33:35.440,4168,3002,1
67321,2014-02-27T12:43:24.957,4189,4183,1
67607,2014-03-03T01:29:54.993,4207,3413,1
67618,2014-03-03T05:05:31.923,4202,2905,1
67975,2014-03-09T15:28:01.053,4242,3490,1
67976,2014-03-09T15:29:07.873,4242,413,1
68197,2014-03-11T08:34:13.840,4242,3490,3
68318,2014-03-13T07:26:59.263,4270,2005,1
68935,2014-03-24T10:16:40.520,4319,2121,1
68936,2014-03-24T10:16:40.520,4319,2556,1
68941,2014-03-24T10:59:35.393,3774,4319,1
68993,2014-03-24T19:20:00.063,4324,663,1
69029,2014-03-25T14:30:41.520,4326,4309,1
69061,2014-03-26T05:19:30.000,4331,3024,1
69075,2014-03-26T10:10:10.837,4331,3024,3
69278,2014-03-28T09:40:27.417,4367,4338,1
69289,2014-03-28T09:42:55.990,4369,2665,1
69300,2014-03-28T13:12:56.993,4369,2665,3
69301,2014-03-28T13:27:08.900,4326,179,1
69302,2014-03-28T13:27:59.367,4326,179,3
69543,2014-04-01T07:22:29.627,4394,3403,1
69566,2014-04-01T08:58:41.837,4397,2307,1
69589,2014-04-01T13:20:32.317,4397,2307,3
70713,2014-04-18T20:32:07.487,4468,4493,1
70839,2014-04-21T05:57:05.097,4502,2298,1
70892,2014-04-21T13:24:06.787,4502,2298,3
70970,2014-04-22T22:15:31.473,4468,4513,1
71066,2014-04-23T20:28:54.840,4523,3,1
71089,2014-04-24T01:02:50.183,4513,4525,1
71215,2014-04-26T10:19:36.857,4504,4319,1
71417,2014-04-28T22:10:52.280,4572,2697,1
71467,2014-04-29T13:38:51.177,4572,2697,3
71527,2014-04-30T05:27:21.673,4581,2500,1
72176,2014-05-09T09:26:36.543,4639,1800,1
72569,2014-05-14T10:51:08.853,4682,1785,1
72607,2014-05-14T14:59:57.490,4685,2786,1
72723,2014-05-15T14:49:03.350,4626,1831,1
72897,2014-05-17T05:31:53.147,4719,2303,1
73055,2014-05-19T07:09:48.283,4719,2303,3
73193,2014-05-20T13:22:23.083,4670,4042,1
73674,2014-05-27T04:08:52.287,4777,2121,1
73719,2014-05-27T07:17:19.173,4783,2121,1
73721,2014-05-27T07:25:02.817,4783,2556,1
73750,2014-05-27T07:56:24.260,4785,4781,1
76808,2014-06-04T04:37:43.980,4847,2436,1
76868,2014-06-04T14:01:26.883,4853,3951,1
77053,2014-06-05T02:40:38.587,4867,4865,1
77122,2014-06-05T11:01:27.310,4875,992,1
77365,2014-06-06T20:52:38.530,4892,3599,1
77380,2014-06-07T04:32:47.143,4890,693,1
79540,2014-06-09T16:43:06.937,4912,3970,1
79657,2014-06-10T13:11:54.657,4825,1150,1
79721,2014-06-11T08:25:51.970,4937,1695,1
79972,2014-06-14T04:36:23.310,4964,916,1
80021,2014-06-14T06:49:10.217,4967,3304,1
80081,2014-06-15T02:38:03.980,4967,3304,3
80097,2014-06-15T18:02:53.043,4964,4881,1
80108,2014-06-16T04:19:43.010,4959,4881,1
80320,2014-06-19T02:38:34.140,4881,916,1
80370,2014-06-19T15:42:12.720,4996,4955,1
81732,2014-06-23T14:35:25.327,5029,663,1
81807,2014-06-24T04:26:36.287,5032,4998,1
81844,2014-06-24T09:44:33.147,5045,2442,1
82010,2014-06-25T06:39:07.410,5062,4270,1
82011,2014-06-25T06:39:07.410,5062,2005,1
82048,2014-06-25T12:22:52.777,5040,5032,1
82240,2014-06-26T10:25:04.063,5085,4981,1
82462,2014-06-28T18:26:41.343,5106,4998,1
82483,2014-06-28T19:04:15.630,5075,5107,1
82632,2014-06-30T09:39:36.297,5117,2011,1
82640,2014-06-30T10:40:37.690,5106,4998,3
83142,2014-07-03T00:20:39.313,5155,5107,1
83288,2014-07-03T18:14:49.297,5163,4723,1
83495,2014-07-04T22:19:40.537,5163,4723,3
83543,2014-07-05T08:30:39.640,5180,3801,1
84072,2014-07-08T05:57:25.517,5211,1884,1
87304,2014-07-21T15:00:07.717,5375,1181,1
87330,2014-07-22T06:30:07.723,5381,3887,1
87599,2014-07-24T11:42:34.447,5404,5401,1
87850,2014-07-26T22:16:44.370,5419,4912,1
88082,2014-07-29T03:26:50.917,5439,4257,1
88194,2014-07-30T07:06:56.557,5446,1851,1
88609,2014-08-04T00:00:30.090,5470,1942,1
88610,2014-08-04T00:10:55.573,1929,3089,1
91608,2014-08-15T07:45:35.813,5537,4757,1
92303,2014-08-25T14:04:09.160,5590,5553,1
92304,2014-08-25T14:04:09.160,5590,5460,1
92650,2014-08-29T18:26:09.657,5630,2372,1
92802,2014-08-31T22:45:28.843,5641,540,1
92910,2014-09-02T11:34:13.510,5427,4796,1
93186,2014-09-06T16:32:49.300,5670,3818,1
94390,2014-09-17T16:37:47.937,5752,1958,1
94552,2014-09-21T03:05:52.507,5756,4875,1
94563,2014-09-21T09:15:18.547,5761,5701,1
94576,2014-09-21T09:34:28.267,5701,5761,1
94717,2014-09-22T23:08:25.757,5770,5552,1
