"user_id","betweenness","closeness","in_degree","out_degree","eccentricity"
"23",854.143736577964,6.3239906910857e-06,4,8,6
"34",718,6.36124222338138e-06,2,1,6
"6",14253.8240257015,6.350940256705e-06,8,58,5
"36",0,6.438279434204e-06,0,9,5
"38",58.5858585858586,6.31560332958608e-06,2,2,7
"37",0,6.34280313841899e-06,0,1,7
"18",3103.68696877821,6.33982742989736e-06,1,49,6
"28",234.75,2.6655577946241e-06,5,2,6
"61",8763.29083707712,6.34360786353631e-06,10,35,5
"14",6845.70325407367,6.34131493506493e-06,12,15,5
"71",0,6.35158567336336e-06,0,1,6
"83",0,6.37153706960267e-06,0,1,7
"57",0,6.37153706960267e-06,0,1,7
"101",0,2.66555068944469e-06,0,1,8
"90",11,2.66120941322994e-06,2,1,7
"96",1565.77653460745,6.33488749239814e-06,6,11,5
"35",1414.7847030556,6.3325607609205e-06,3,5,6
"103",0,6.59591449056454e-06,1,13,6
"12",1683.92562433093,6.34300430055692e-06,2,12,6
"16",72.2898273351363,6.32963471678049e-06,1,5,6
"114",0,2.66555068944469e-06,0,1,8
"59",1738.5637884663,6.33183901932477e-06,6,7,6
"27",693.836317658987,6.33886293476676e-06,1,15,6
"46",10.4912393286753,6.33665373989304e-06,1,1,6
"24",1293.15651749756,6.32955458924355e-06,3,4,6
"120",49.9549527851475,6.3270716414322e-06,2,1,6
"9",0,6.32927415883946e-06,1,1,6
"174",0,6.37641237534114e-06,0,2,6
"195",486.836317658988,6.32463064157053e-06,2,1,6
"219",0,2.6655577946241e-06,0,2,7
"152",0,6.48920844635371e-06,0,18,5
"238",0,6.35388603670005e-06,0,1,6
"87",154.833912324235,2.6655577946241e-06,3,2,6
"251",0,2.66120941322994e-06,0,1,7
"92",492,2.68749294533102e-06,1,4,7
"280",0,2.66120941322994e-06,0,1,7
"188",0,2.66120941322994e-06,0,1,7
"183",0,2.66120941322994e-06,0,1,1
"145",738.666666666667,6.32355080024535e-06,1,6,6
"326",0,2.66120941322994e-06,0,1,1
"328",4,6.36962960603841e-06,1,2,6
"224",557.337639065915,6.33460658925777e-06,3,5,5
"313",1.66666666666667,2.66120941322994e-06,1,1,6
"339",0.766666666666667,6.317797868375e-06,1,2,6
"97",1,2.66120941322994e-06,1,1,7
"372",0,6.34207906035757e-06,0,1,7
"375",0,6.34767484670365e-06,0,1,6
"348",0,6.3724709256014e-06,0,2,6
"385",6587.8693399254,6.34517766497462e-06,10,51,5
"397",0,2.65687519594455e-06,1,1,0
"400",0,2.66120941322994e-06,0,1,7
"357",0,6.38667484161046e-06,0,4,6
"410",153,2.66120941322994e-06,2,1,6
"246",151,6.33368379717011e-06,1,3,6
"253",727.460164601323,6.32171191958782e-06,2,3,6
"342",48.604793776485,2.66120941322994e-06,2,1,6
"468",0,6.31189603044859e-06,2,3,6
"477",1587.68452974642,6.33870221410868e-06,1,13,5
"98",36.6931623931624,2.66555068944469e-06,2,1,6
"496",2979.09583452345,6.34030978753622e-06,6,20,6
"448",473.178074287032,6.32603098489976e-06,8,1,5
"516",0,2.66120941322994e-06,0,1,1
"517",0,6.35227157231426e-06,0,2,6
"527",31875.9258366805,6.34783602269986e-06,63,72,5
"364",8098.0290811986,6.33741674218755e-06,25,23,5
"550",0,6.34207906035757e-06,0,1,7
"528",2209.78542448155,6.33544937342406e-06,3,11,6
"635",444.357142857143,6.32183181398642e-06,1,1,6
"379",0,6.33978723674034e-06,0,2,7
"689",0,2.66120941322994e-06,0,1,7
"692",0,2.66120941322994e-06,0,1,1
"675",4912.86504031907,6.33697498162277e-06,12,23,6
"423",0,2.66992040967259e-06,0,3,6
"735",0,6.35812791281735e-06,0,1,6
"752",3317.29489461329,6.34002840332725e-06,13,25,5
"769",0,6.35029497120141e-06,0,1,6
"708",0,6.32571085175697e-06,1,1,6
"745",7.62100142420508,6.32919404043089e-06,3,3,6
"784",0,6.37511156445238e-06,0,2,6
"99",0,2.66120941322994e-06,0,1,1
"786",1637.23457265971,6.33765772845672e-06,6,13,6
"792",0,6.36010939388157e-06,0,2,6
"857",1321.73143388232,6.32719173921846e-06,7,34,5
"869",0,6.33842097256731e-06,0,3,6
"876",0,2.66120941322994e-06,0,1,1
"908",698.03713022414,6.3335233390335e-06,3,1,6
"911",0,2.66120941322994e-06,0,1,1
"931",0,2.66120941322994e-06,0,1,6
"949",0,6.33741674218755e-06,0,1,6
"950",459.730974580975,6.33380414610819e-06,5,4,5
"952",0,6.33890311620477e-06,0,1,6
"991",0,6.34376883306372e-06,0,1,7
"540",5575.29737312371,6.32867332021188e-06,20,51,5
"497",152,2.66120941322994e-06,2,1,6
"396",358,6.32311097059753e-06,4,1,6
"1083",0,2.6655577946241e-06,0,2,6
"403",0,6.35966446410287e-06,0,2,6
"1099",0,2.66120941322994e-06,0,1,2
"1112",0,2.66120941322994e-06,0,1,2
"192",82.5082251082251,6.31500508357909e-06,1,2,6
"667",0,6.33689466813683e-06,0,3,6
"255",43.4196562309978,6.31273278202134e-06,1,2,6
"1154",0,6.34280313841899e-06,0,1,7
"921",2025.10417744152,6.32527072158688e-06,6,13,6
"529",0,6.35812791281735e-06,0,1,6
"1122",74.6604156767434,2.66990615279873e-06,2,1,6
"1207",0,6.3462649057897e-06,0,1,6
"1126",0,2.66120941322994e-06,0,1,1
"1213",0,2.65687519594455e-06,1,1,0
"1221",0,2.66120941322994e-06,0,1,1
"1243",0,6.37214607507663e-06,0,4,7
"650",1369.35714285714,6.33601135413235e-06,3,6,5
"1269",0,2.66120941322994e-06,0,1,7
"1277",675.228837268385,6.31388866088735e-06,13,3,6
"1286",82.6753150231411,6.31512472371329e-06,3,2,6
"1238",0,2.65687519594455e-06,1,1,0
"1193",306,2.6655577946241e-06,2,2,7
"1297",0,6.33681435668661e-06,0,1,6
"768",364,6.47756495378257e-06,1,20,6
"1219",1034.94725274725,6.32939434025558e-06,5,4,6
"1184",0,6.33689466813683e-06,0,2,6
"1393",0,6.33332277779537e-06,0,1,7
"753",7977.41049886434,6.32659129587569e-06,78,22,5
"1231",152,2.66120941322994e-06,2,1,6
"630",0,2.65687519594455e-06,8,3,5
"1455",1099.98641696914,6.31133831929061e-06,16,10,5
"1535",0,6.3462649057897e-06,0,1,6
"1557",364,6.48714572075433e-06,1,11,5
"1145",0,6.37096876951109e-06,0,4,6
"1559",0,2.66120941322994e-06,0,1,7
"1070",0,6.33681435668661e-06,0,1,6
"974",0,6.32535074069857e-06,0,1,6
"1626",2678.1353693741,6.34143557418528e-06,5,11,6
"1442",0,2.66120941322994e-06,0,1,8
"1622",152,2.66120941322994e-06,1,1,6
"1669",0,6.33681435668661e-06,0,1,6
"1668",0,6.48802958541491e-06,0,1,7
"1426",0,2.65687519594455e-06,2,1,6
"1711",0,2.66120941322994e-06,0,1,1
"1478",0,2.65687519594455e-06,5,1,6
"1740",1,2.66120941322994e-06,1,1,7
"1630",304,2.6655577946241e-06,3,2,6
"1730",0,2.6655577946241e-06,0,2,1
"1723",9430.83879913096,6.3432457119659e-06,8,53,5
"1793",0,2.66555068944469e-06,0,1,8
"1809",0,6.3486823309822e-06,0,2,7
"1826",0,2.66120941322994e-06,0,1,1
